Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Visibility_Ratio_OutletSize,Outlet_Years,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
FDA15,9.3,0.016047301,Dairy,249.8092,OUT049,1,0,3735.138,0.9310779543761085,0.250670451440373,14,1,0,0,1,0,0,0,1,0
DRC01,5.92,0.019278216,Soft Drinks,48.2692,OUT018,1,2,443.4228,0.9334195208758377,0.30113968122645807,4,0,1,0,0,1,0,1,0,0
FDN15,17.5,0.016760075,Meat,141.618,OUT049,1,0,2097.27,0.8727897762771314,0.26180449699451075,14,1,0,0,1,0,0,0,1,0
FDX07,19.2,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,2,2,732.38,0.8181818181818181,0.2245108911279738,15,0,1,1,0,0,0,0,1,0
NCD19,8.93,0.009779828555555556,Household,53.8614,OUT013,2,2,994.7052,0.75,0.12311519708587158,26,1,0,0,1,0,0,0,0,1
FDP36,10.395,0.057058688875,Baking Goods,51.4008,OUT018,1,2,556.6088,0.7272727272727273,0.8912980007598809,4,0,1,0,0,1,0,0,1,0
FDO10,13.65,0.012741089,Snack Foods,57.6588,OUT013,2,2,343.5528,1.069426769751245,0.1603935768825472,26,0,1,0,1,0,0,0,1,0
FDP10,19.0,0.127469857,Snack Foods,107.7622,OUT027,1,2,4022.7636,0.8704928816397633,1.9911713875890897,28,1,0,0,0,0,1,0,1,0
FDH17,16.2,0.016687114,Frozen Foods,96.9726,OUT045,0,1,1076.5986,0.9241603619293527,0.23822341087370236,11,0,1,0,1,0,0,0,1,0
FDU28,19.2,0.09444959,Frozen Foods,187.8214,OUT017,0,1,4710.535,0.8763482180275006,1.3483519969614115,6,0,1,0,1,0,0,0,1,0
FDY07,11.8,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,1,0,1516.0266,0.6,0.6346157040951769,14,1,0,0,1,0,0,0,1,0
FDA03,18.5,0.045463773,Dairy,144.1102,OUT046,0,0,2187.153,0.933025686442574,0.6490358413832216,16,0,1,0,1,0,0,0,1,0
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,OUT049,1,0,1589.2646,0.9330543755673081,1.5622832272624376,14,0,1,0,1,0,0,0,1,0
