Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Years,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable
9.3,0.016047301,249.8092,1,0,3735.138,14,True,False,False,True,False,False,False,True,False
5.92,0.019278216,48.2692,1,2,443.4228,4,False,True,False,False,True,False,True,False,False
17.5,0.016760075,141.618,1,0,2097.27,14,True,False,False,True,False,False,False,True,False
19.2,0.0,182.095,0,2,732.38,15,False,True,True,False,False,False,False,True,False
8.93,0.0,53.8614,0,2,994.7052,26,True,False,False,True,False,False,False,False,True
10.395,0.0,51.4008,1,2,556.6088,4,False,True,False,False,True,False,False,True,False
13.65,0.012741089,57.6588,0,2,343.5528,26,False,True,False,True,False,False,False,True,False
19.0,0.127469857,107.7622,1,2,4022.7636,28,True,False,False,False,False,True,False,True,False
16.2,0.016687114,96.9726,2,1,1076.5986,11,False,True,False,True,False,False,False,True,False
19.2,0.09444959,187.8214,2,1,4710.535,6,False,True,False,True,False,False,False,True,False
11.8,0.0,45.5402,1,0,1516.0266,14,True,False,False,True,False,False,False,True,False
18.5,0.045463773,144.1102,2,0,2187.153,16,False,True,False,True,False,False,False,True,False
15.1,0.1000135,145.4786,1,0,1589.2646,14,False,True,False,True,False,False,False,True,False
17.6,0.047257328,119.6782,2,0,2145.2076,16,False,True,False,True,False,False,False,True,False
16.35,0.0680243,196.4426,0,2,1977.426,26,True,False,False,True,False,False,False,True,False
9.0,0.069088961,56.3614,2,0,1547.3192,16,False,True,False,True,False,False,False,True,False
11.8,0.008596051,115.3492,1,2,1621.8888,4,True,False,False,False,True,False,False,False,True
9.0,0.069196376,54.3614,1,0,718.3982,14,False,True,False,True,False,False,False,True,False
8.26,0.034237682,113.2834,1,2,2303.668,28,True,False,False,False,False,True,True,False,False
13.35,0.10249212,230.5352,2,1,2748.4224,9,True,False,False,True,False,False,False,True,False
18.85,0.138190277,250.8724,0,2,3775.086,26,False,True,False,True,False,False,False,True,False
8.315,0.035399923,144.5444,1,2,4064.0432,28,False,True,False,False,False,True,False,True,False
14.6,0.025698134,196.5084,2,1,1587.2672,9,True,False,False,True,False,False,False,False,True
15.5,0.057556998,107.6938,2,0,214.3876,28,True,False,True,False,False,False,False,True,False
13.85,0.025896485,165.021,2,0,4078.025,16,False,True,False,True,False,False,False,True,False
13.0,0.099887103,45.906,2,1,838.908,6,True,False,False,True,False,False,False,False,True
7.645,0.066693437,42.3112,2,1,1065.28,9,False,True,False,True,False,False,False,True,False
11.65,0.019356132,39.1164,0,2,308.9312,26,True,False,False,True,False,False,True,False,False
5.925,0.161466534,45.5086,0,2,178.4344,15,False,True,True,False,False,False,False,True,False
14.5,0.072221801,43.6454,2,0,125.8362,28,False,True,True,False,False,False,False,True,False
19.25,0.170348551,55.7956,0,2,163.7868,15,True,False,True,False,False,False,False,True,False
18.6,0.080829372,96.4436,1,2,2741.7644,4,True,False,False,False,True,False,False,False,True
18.7,0.0,256.6672,1,2,3068.0064,4,True,False,False,False,True,False,False,True,False
17.85,0.0,93.1436,2,1,2174.5028,11,True,False,False,True,False,False,False,True,False
17.5,0.097904029,174.8738,2,0,2085.2856,16,True,False,False,True,False,False,True,False,False
10.0,0.089291137,146.7102,1,0,3791.0652,14,True,False,False,True,False,False,False,False,True
20.2,0.059511812,128.0678,1,2,2797.6916,28,False,True,False,False,False,True,False,True,False
8.85,0.113123893,122.5388,1,2,1609.9044,4,False,True,False,False,True,False,True,False,False
6.385,0.123111453,36.9874,1,2,388.1614,28,False,True,False,False,False,True,False,True,False
15.25,0.026480954,87.6198,1,2,2180.495,28,True,False,False,False,False,True,False,True,False
13.35,0.102511504,230.6352,2,0,3435.528,16,True,False,False,True,False,False,False,True,False
